CO_GRUPO;IdPersona;FE_ALTA;Monto;Fe_castigo;Monto_castigado
18RP;470476;22/08/2021;587.00;;
0125;504282;23/03/2021;1558.00;;
0121;523357;03/12/2021;2687.00;;
0357;683854;03/12/2021;5587.00;;
0YOW;934976;27/08/2021;2087.00;;
0115;958330;25/02/2021;758.00;;
15XA;980797;27/08/2021;4587.00;;
0155;990143;11/07/2021;887.00;;
0108;998716;23/12/2021;5287.00;;
0126;1012079;02/04/2021;1658.00;;
0179;1122357;06/06/2021;587.00;;
0191;1126499;22/10/2021;6587.00;;
0211;1150606;05/01/2021;1458.00;;
0121;1162080;18/09/2021;2587.00;;
0108;1173053;02/02/2021;4058.00;;
0221;1174259;12/02/2021;1558.00;;
0234;1215714;07/04/2021;1458.00;;
0248;1260785;06/11/2021;6587.00;;
0248;1262799;14/09/2021;1887.00;;
0248;1263755;24/08/2021;5087.00;;
0248;1264209;05/10/2021;6587.00;;
0248;1264498;17/09/2021;2887.00;;
0248;1264928;03/09/2021;3687.00;;
3437;1289255;03/04/2021;4058.00;;
10JZ;1289826;21/11/2021;2087.00;;
0ZRZ;1319961;17/12/2021;1687.00;;
0ZRZ;1319961;17/04/2021;1558.00;;
0289;1343813;12/01/2021;1458.00;;
0317;1398767;22/12/2021;1987.00;;
0063;1404060;13/12/2021;3487.00;;
0062;1411636;12/02/2021;1558.00;;
0334;1429273;05/12/2021;987.00;;
0YJJ;1429323;09/01/2021;2358.00;;
0345;1456995;23/09/2021;1487.00;;
0345;1456995;27/03/2021;1058.00;;
0359;1457787;01/01/2021;2558.00;;
0357;1460559;12/06/2021;2087.00;;
0357;1460732;21/01/2021;4058.00;;
0PIF;1471002;06/09/2021;587.00;;
0329;1476837;19/08/2021;887.00;;
0419;1550607;13/12/2021;2087.00;;
0419;1550771;23/03/2021;558.00;;
0419;1551464;31/01/2021;658.00;;
0419;1551845;25/06/2021;1587.00;;
0419;1552033;28/09/2021;1087.00;;
0419;1552272;11/02/2021;1058.00;;
0419;1553072;19/03/2021;1358.00;;
0419;1553320;28/10/2021;887.00;;
0108;1557719;26/02/2021;1358.00;;
0405;1560309;20/09/2021;1187.00;;
0405;1560507;23/01/2021;558.00;;
0405;1560556;10/01/2021;758.00;;
0405;1560853;16/10/2021;1187.00;;
0405;1561034;22/06/2021;1587.00;;
0405;1561182;31/07/2021;987.00;;
0248;1565068;25/08/2021;787.00;;
0452;1572908;15/10/2021;1087.00;;
0452;1572932;27/12/2021;2987.00;;
0452;1574250;17/12/2021;3087.00;;
0452;1574292;04/12/2021;1087.00;;
2305;1587021;28/09/2021;1387.00;;
0404;1592799;14/02/2021;2958.00;;
0095;1595461;24/07/2021;587.00;;
1B9D;1618735;02/12/2021;587.00;;
1B9D;1618735;19/08/2021;787.00;;
0R5B;1636349;15/11/2021;6587.00;;
0430;1646389;10/01/2021;858.00;;
0430;1646934;03/02/2021;558.00;;
1019;1654649;26/04/2021;858.00;;
1019;1676329;29/01/2021;4058.00;;
1019;1713312;19/12/2021;1887.00;;
5760;1727627;22/11/2021;4587.00;;
0559;1730340;03/12/2021;3087.00;;
0559;1730431;06/07/2021;1187.00;;
0218;1731710;05/01/2021;3058.00;;
0587;1761246;08/12/2021;2487.00;;
1B9D;1799089;26/02/2021;558.00;;
1B9D;1799089;17/02/2021;558.00;;
0616;1805266;18/11/2021;1487.00;;
0616;1805266;09/11/2021;1287.00;;
0121;1821438;19/08/2021;6587.00;;
0359;1828045;02/10/2021;2987.00;;
0248;1836543;24/11/2021;587.00;;
1CQ8;1839901;02/11/2021;2087.00;;
16X6;1849363;18/11/2021;1187.00;;
0470;1862507;06/12/2021;587.00;;
0021;1864594;22/10/2021;2087.00;;
0066;1877885;07/02/2021;2758.00;;
0254;1885094;06/01/2021;3558.00;;
0683;1886654;03/11/2021;2787.00;;
1019;1925700;03/12/2021;1087.00;;
0419;1942671;31/01/2021;1058.00;;
0289;1942689;04/12/2021;987.00;;
1019;1995455;03/02/2021;1958.00;;
0767;2016038;22/01/2021;2758.00;;
0218;2021707;21/12/2021;3187.00;;
0804;2023109;20/12/2021;2587.00;;
5409;2051654;16/10/2021;587.00;;
0815;2077550;13/11/2021;2887.00;;
0815;2077550;30/09/2021;2887.00;;
0108;2083897;30/12/2021;6587.00;;
0108;2083897;08/01/2021;4058.00;;
0859;2099562;13/07/2021;4987.00;;
0859;2099794;16/07/2021;2087.00;;
0859;2099943;16/01/2021;4058.00;;
0861;2103471;21/05/2021;558.00;;
0861;2104453;10/04/2021;558.00;;
8282;2171296;09/01/2021;1458.00;;
0419;2185288;23/01/2021;1558.00;;
2774;2195089;12/01/2021;1158.00;;
0663;2195444;14/05/2021;758.00;;
18RP;2197705;21/08/2021;587.00;;
0852;2219996;16/12/2021;3587.00;;
0191;2279065;29/01/2021;1458.00;;
1132;2356491;17/01/2021;3058.00;;
1132;2356707;05/05/2021;1558.00;;
1132;2356798;25/03/2021;1058.00;;
0YJJ;2392660;26/12/2021;2987.00;;
0YJJ;2392660;09/12/2021;2687.00;;
0588;2424026;17/11/2021;1387.00;;
159T;2424810;26/09/2021;687.00;;
1AZI;2445682;16/01/2021;2058.00;;
1271;2447357;19/12/2021;6587.00;;
1019;2458115;17/01/2021;2158.00;;
1251;2462141;07/08/2021;787.00;;
0221;2466308;07/01/2021;2558.00;;
2305;2466530;02/03/2021;4058.00;;
1291;2493021;26/12/2021;2687.00;;
9668;2499382;16/01/2021;558.00;;
1354;2505154;17/10/2021;5787.00;;
1354;2505154;23/04/2021;4058.00;;
1IT4;2508158;02/12/2021;1387.00;;
1IT4;2508307;10/09/2021;787.00;;
1274;2528925;06/11/2021;2087.00;;
0XB1;2581494;17/11/2021;4387.00;;
0OKU;2631547;30/01/2021;1958.00;;
0OKU;2631547;10/01/2021;1958.00;;
0405;2689529;06/12/2021;1587.00;;
0S29;2689685;13/12/2021;1087.00;;
0S29;2689685;05/12/2021;787.00;;
1494;2695807;26/12/2021;2987.00;;
1040;2725331;21/12/2021;1087.00;;
1494;2725430;18/01/2021;858.00;;
1B6W;2729895;01/12/2021;787.00;;
1490;2734721;26/04/2021;1258.00;;
1019;2778124;31/03/2021;1058.00;;
1AZI;2865046;01/09/2021;587.00;;
1723;2902187;14/02/2021;558.00;;
0248;2909166;30/12/2021;2587.00;;
1019;2912517;20/01/2021;3058.00;;
1697;2914117;13/06/2021;587.00;;
1717;2942878;28/12/2021;2387.00;;
1747;2968931;30/01/2021;1158.00;;
1747;2968931;16/01/2021;1158.00;;
0405;2971562;04/09/2021;587.00;;
0732;3004520;29/07/2021;687.00;;
0121;3023694;16/11/2021;587.00;;
6807;3030640;03/11/2021;1587.00;;
0254;3039013;10/11/2021;6587.00;;
9668;3040367;05/12/2021;1487.00;;
1870;3072154;08/10/2021;987.00;;
1909;3085958;06/02/2021;1558.00;;
1JSY;3086238;03/11/2021;1487.00;;
0254;3089711;14/11/2021;887.00;;
6782;3100914;22/07/2021;6087.00;;
14OH;3108495;31/12/2021;687.00;;
14OH;3108495;26/02/2021;758.00;;
0VI4;3141652;14/12/2021;2187.00;;
0419;3156114;29/10/2021;1387.00;;
11VR;3191046;19/02/2021;758.00;;
0WOM;3192135;17/10/2021;1287.00;;
0NO4;3192366;29/01/2021;758.00;;
0NO4;3192374;18/04/2021;758.00;;
0NO4;3192945;16/02/2021;558.00;;
0WOM;3193182;02/12/2021;887.00;;
0NO4;3193182;17/03/2021;658.00;;
1747;3194438;11/12/2021;1587.00;;
1019;3212156;17/11/2021;2287.00;;
2139;3245495;15/07/2021;987.00;;
2166;3246907;19/01/2021;958.00;;
2163;3274867;09/04/2021;1058.00;;
2163;3274867;07/03/2021;1058.00;;
2163;3290020;27/03/2021;658.00;;
2150;3372778;15/11/2021;6587.00;;
0419;3414679;14/02/2021;1358.00;;
0035;3424462;10/10/2021;2087.00;;
